CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE
150,Ragama,"No. 51 Kadawatha road, Ragama",7.028374,79.9226189
152,Athurugiriya,"No .70 , Malabe Road, Athurugiriya",6.8803239,79.9844337
154,Kaduwela,"No.503/10,Avissawella Road, Kaduwela.",6.9374389,79.9783936
156,Weliweriya,"No 386, New Kandy Road, Weliweriya.",5.955217,80.536902
160,Meegoda,"No. 510/F2, Highlevel Road, Meegoda, ",6.8441085,80.0460308
161,Kuliyapitiya,"No. 82, Jayanthi Mawatha, Kuliyapitiya",7.4742345,80.0467744
163,Ambalangoda,"No12, Galle Road, Ambalangoda",6.2421506,80.0496207
166,Palanwatta,"No. 106/3A Palanwatte, Pannipitiya",6.828044,79.9480638
167,Wennapuwa,"No 1/56 , Chilaw Road , Wennappuwa ",7.3426407,79.8413079
168,Attidiya,"No144,Main Road Attidiya. ",7.66539,81.661453
171,Kandana,"No-88,Negambo Road, Kandana",7.048,79.8937
172,Mulleriyawa,"No. 348A-3, Hibutana, Mulleriyawa new town.",9.063898,80.498545
174,Chilaw,"No. 44/A, Kurunagala road, Chillaw",8.3141293,80.239656
179,Mawaramandiya,"No.529/3F, Udupila Road, Mawaramandiya.",6.9812454,79.9679721
181,Wateraka,"No.275/A,Watareka,Padukka.",6.8415384,80.0916472
182,Mattegoda,"193/11/1,Main Street, Mattegoda",6.8121327,79.9746984
117,Wattala 2 AD ,"No.85, Negombo RD, Wattala.",7.0063561,79.8969779
188,Rathnapura ,"No-06, Pelmadulla road, Batugedara, Rathnapura.",6.68278,80.39917
189,Hettipola,"No 14 ,   Chilaw Road, Hettipola",7.4034,80.4993
190,Anuradhapuraya,"525/26, stage 2, Anuradhapura",8.334985,80.4106096
191,Pelmadulla,"No.129, Main Street, Pelmadulla",6.623696,80.542552
192,Piliyandala Road Arpico Daily,"82/2,12 Kottawa Road, Mawiththara, Piliyandala",6.7999,79.9249
82,"K,KUMBURA","No:431 / Colombo Road ,Kiribathkumbura ",7.2677289,80.5762641
