ADDRESS,BRAND,CODE,DISTRICT,LATITUDE,LOCATION,LONGITUDE
"Smak, Kadawatha, Western Province, Sri Lanka",SMAK,0,Gampaha,7.0038321,SMAK,79.9394804
"Wattala, Sri Lanka",Arpico,3,Gampaha,6.9906677,Wattala SC,79.8931709
"Borelasgamuwa, Sri Lanka",Arpico,4,Colombo,6.8409891,Borelasgamuwa SS,79.9017187
"Hyde, Sri Lanka",Arpico,5,Colombo,6.9175873,Hyde Park SC,79.8585189
"Nawinna, Sri Lanka",Arpico,10,Colombo,6.8533309,Nawinna SC,79.9150724
"Matara, Sri Lanka",Arpico,105,Matara,5.9496309,Matara SC,80.5468529
"Panadura, Sri Lanka",Arpico,106,Kalutara,6.7106361,Panadura SC,79.9074262
"Kottawa, Sri Lanka",Arpico,108,Colombo,6.8411652,Kottawa SS,79.9654324
"Galle, Sri Lanka",Arpico,109,Galle,6.0328948,Galle SC,80.2167912
"Malabe, Sri Lanka",Arpico,110,Colombo,6.9060787,Malabe SS,79.9696277
"Kurunegala, Sri Lanka",Arpico,111,Kurunegala,7.4817695,Kurunegala SC,80.3608876
"Kohuwala, Sri Lanka",Arpico,112,Colombo,6.8624842,Kohuwala SC,79.8854983
"Homagama, Sri Lanka",Arpico,113,Colombo,6.8432762,Homagama SC,80.0031833
"Yakkala, Sri Lanka",Arpico,114,Gampaha,7.0864153,Yakkala SS,80.0335107
"Kegalle, Sri Lanka",Arpico,115,Kegalle,7.2513317,Kegalle SC,80.3463754
"Thalawathugoda, Sri Lanka",Arpico,116,Colombo,6.8758648,Thalawathugoda SC,79.9391936
"Wattala-2, Sri Lanka",Arpico,117,Gampaha,6.9906677,Wattala-2 ADA,79.8931709
"Kochchikade, Sri Lanka",Arpico,119,Gampaha,7.2657063,Kochchikade SC,79.8591235
"Kundasale, Sri Lanka",Arpico,121,Kandy,7.3096237,Kundasale SS,80.7103532
"Katugastota, Sri Lanka",Arpico,122,Kandy,7.3359903,Katugastota SC,80.6214005
"Minuwangoda, Sri Lanka",Arpico,123,Gampaha,7.1842076,Minuwangoda SC,79.9500477
"Katukurunda, Sri Lanka",Arpico,127,Kalutara,6.549971,Katukurunda SC,79.9836108
"Seeduwa, Sri Lanka",Arpico,128,Gampaha,7.1247085,Seeduwa SC,79.8750028
"Kiribathgoda, Sri Lanka",Arpico,14,Gampaha,6.9778284,Kiribathgoda SS,79.9271523
"Ragama, Sri Lanka",Arpico,150,Gampaha,7.0280037,Ragama Daily,79.923
"Athurugiriya, Sri Lanka",Arpico,152,Colombo,6.8723185,Athurugiriya Daily,80.0003875
