CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE
1074,FC BORALESGAMUWA,"BORALESGAMUWA, Cargills Food City, Sri Lanka",6.8404081,79.9008379,Cargills,3/5/2025
1075,FC PANADURA,"PANADURA, Cargills Food City, Sri Lanka",6.7196794,79.9077578,Cargills,3/5/2025
1140,FC HORANA,"HORANA, Cargills Food City, Sri Lanka",6.7229806,80.0646682,Cargills,3/5/2025
1147,FC MINUWANGODA,"MINUWANGODA, Cargills Food City, Sri Lanka",7.1663889,79.9467343,Cargills,3/5/2025
1149,FC KALUTARA,"KALUTARA, Cargills Food City, Sri Lanka",6.5853948,79.96074,Cargills,3/5/2025
1166,FC KATUKURUNDA,"KATUKURUNDA, Cargills Food City, Sri Lanka",6.549971,79.9836108,Cargills,3/5/2025
1180,FC RATMALANA,"RATMALANA, Cargills Food City, Sri Lanka",6.8195453,79.8800832,Cargills,3/5/2025
1182,FC PANADURA 2,"PANADURA , Cargills Food City, Sri Lanka",6.7196794,79.9077578,Cargills,3/5/2025
1184,FC RAGAMA,"RAGAMA, Cargills Food City, Sri Lanka",7.0280037,79.923,Cargills,3/5/2025
1191,FC PEPILIYANA,"PEPILIYANA, Cargills Food City, Sri Lanka",6.8562846,79.8890356,Cargills,3/5/2025
1280,FC KALUTARA NORTH,"KALUTARA NORTH, Cargills Food City, Sri Lanka",6.5853948,79.96074,Cargills,3/5/2025
1293,FC KESBEWA,"KESBEWA, Cargills Food City, Sri Lanka",6.7786701,79.9472502,Cargills,3/5/2025
1312,EX PANADURA,"PANADURA, Cargills Food City, Sri Lanka",6.7196794,79.9077578,Cargills,3/5/2025
1325,EX KIRINDIWELA,"KIRINDIWELA, Cargills Food City, Sri Lanka",7.0403062,80.1317396,Cargills,3/5/2025
1330,EX MORATUMULLA,"MORATUMULLA, Cargills Food City, Sri Lanka",6.7862384,79.8926197,Cargills,3/5/2025
1333,EX MORATUWELLA,"MORATUWELLA, Cargills Food City, Sri Lanka",6.7866384,79.8928197,Cargills,3/5/2025
1345,EX BALAPITIYA,"BALAPITIYA, Cargills Food City, Sri Lanka",6.2783546,80.0403047,Cargills,3/5/2025
1356,EX DIVULAPITIYA,"DIVULAPITIYA, Cargills Food City, Sri Lanka",7.2237702,80.0182953,Cargills,3/5/2025
1367,EX NALLURUWA,"NALLURUWA, Cargills Food City, Sri Lanka",6.6949013,79.9178709,Cargills,3/5/2025
1369,EX PIRIVENA JUNCTION,"PIRIVENA JUNCTION, Cargills Food City, Sri Lanka",6.8420691,79.9084475,Cargills,3/5/2025
1373,EX ALUBOMULLA,"ALUBOMULLA, Cargills Food City, Sri Lanka",6.7113091,79.9458514,Cargills,3/5/2025
1388,EX KALUTARA CENTRAL,"KALUTARA CENTRAL, Cargills Food City, Sri Lanka",6.5853948,79.96074,Cargills,3/5/2025
1390,EX PUWAKPITIYA,"PUWAKPITIYA, Cargills Food City, Sri Lanka",7.5686,80.62758,Cargills,3/5/2025
1398,EX MARADAGAHAMULLA,"MARADAGAHAMULLA, Cargills Food City, Sri Lanka",7.2289814,79.9906015,Cargills,3/5/2025
1405,FC WADDUWA,"WADDUWA, Cargills Food City, Sri Lanka",6.6362823,79.9528451,Cargills,3/5/2025
1454,FC MORATUWA OLD RD,"MORATUWA OLD RD, Cargills Food City, Sri Lanka",6.7880706,79.8912813,Cargills,3/5/2025
1456,FC RATMALANA 2,"RATMALANA , Cargills Food City, Sri Lanka",6.8195453,79.8800832,Cargills,3/5/2025
1463,FC HANWELLA,"HANWELLA, Cargills Food City, Sri Lanka",6.9078637,80.0775493,Cargills,3/5/2025
1468,FC EKALA,"EKALA, Cargills Food City, Sri Lanka",7.1022913,79.9094751,Cargills,3/5/2025
1476,FC HORANA 2,"HORANA , Cargills Food City, Sri Lanka",6.7229806,80.0646682,Cargills,3/5/2025
1478,FC KESELWATTE,"KESELWATTE, Cargills Food City, Sri Lanka",6.7493623,79.9031776,Cargills,3/5/2025
1553,FC SEEDUWA 2,"SEEDUWA , Cargills Food City, Sri Lanka",7.1433258,79.8737728,Cargills,3/5/2025
1565,FC MORATUMULLA,"MORATUMULLA, Cargills Food City, Sri Lanka",6.7869384,79.8948197,Cargills,3/5/2025
1566,FC WADDUWA 2,"WADDUWA , Cargills Food City, Sri Lanka",6.6362823,79.9528451,Cargills,3/5/2025
1570,FC BORUPANA,"BORUPANA, Cargills Food City, Sri Lanka",6.8139074,79.8947804,Cargills,3/5/2025
1587,FC PALLIMULLA,"PALLIMULLA, Cargills Food City, Sri Lanka",6.7414417,79.9031776,Cargills,3/5/2025
1595,FC BANDARAGAMA 2,"BANDARAGAMA , Cargills Food City, Sri Lanka",6.7126923,79.9865155,Cargills,3/5/2025
1615,FC MINUWANGODA 02,"MINUWANGODA , Cargills Food City, Sri Lanka",7.1663889,79.9467343,Cargills,3/5/2025
1617,FC KATUKURUNDA 02,"KATUKURUNDA , Cargills Food City, Sri Lanka",6.549971,79.9836108,Cargills,3/5/2025
1656,FC PEPILIYANA 02,"PEPILIYANA , Cargills Food City, Sri Lanka",6.8562846,79.8890356,Cargills,3/5/2025
1662,FC KIRIDIWELA,"KIRIDIWELA, Cargills Food City, Sri Lanka",7.0411825,80.1289324,Cargills,3/5/2025
1685,FC AKUREGODA,"AKUREGODA, Cargills Food City, Sri Lanka",6.8937244,79.9486489,Cargills,3/5/2025
1716,EX DELPE JUNCTION,"DELPE JUNCTION, Cargills Food City, Sri Lanka",7.0208119,79.9325396,Cargills,3/5/2025
1719,EX DALUPOTHA,"DALUPOTHA, Cargills Food City, Sri Lanka",7.2299603,79.8548823,Cargills,3/5/2025
1732,EX WARAGODA,"WARAGODA, Cargills Food City, Sri Lanka",6.9610588,79.9087754,Cargills,3/5/2025
1733,EX RATMALANA STATION ROAD,"RATMALANA STATION ROAD, Cargills Food City, Sri Lanka",6.8195453,79.8800832,Cargills,3/5/2025
1734,EX HUNUPITIYA,"HUNUPITIYA, Cargills Food City, Sri Lanka",6.9863638,79.9074482,Cargills,3/5/2025
