CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE,DEMAND
4,Borelasgamuwa SS,"Borelasgamuwa, Sri Lanka",6.8409891,79.9017187,Arpico,2025-03-03,1
10,Nawinna SC,"Nawinna, Sri Lanka",6.8533309,79.9150724,Arpico,2025-03-03,1
105,Matara SC,"Matara, Sri Lanka",5.9496309,80.5468529,Arpico,2025-03-03,1
106,Panadura SC,"Panadura, Sri Lanka",6.7106361,79.9074262,Arpico,2025-03-03,1
108,Kottawa SS,"Kottawa, Sri Lanka",6.8411652,79.9654324,Arpico,2025-03-03,1
109,Galle SC,"Galle, Sri Lanka",6.0328948,80.2167912,Arpico,2025-03-03,1
111,Kurunegala SC,"Kurunegala, Sri Lanka",7.4817695,80.3608876,Arpico,2025-03-03,1
112,Kohuwala SC,"Kohuwala, Sri Lanka",6.8624842,79.8854983,Arpico,2025-03-03,1
113,Homagama SC,"Homagama, Sri Lanka",6.8432762,80.0031833,Arpico,2025-03-03,1
115,Kegalle SC,"Kegalle, Sri Lanka",7.2513317,80.3463754,Arpico,2025-03-03,1
116,Thalawathugoda SC,"Thalawathugoda, Sri Lanka",6.8758648,79.9391936,Arpico,2025-03-03,1
119,Kochchikade SC,"Kochchikade, Sri Lanka",7.2657063,79.8591235,Arpico,2025-03-03,1
121,Kundasale SS,"Kundasale, Sri Lanka",7.3096237,80.7103532,Arpico,2025-03-03,1
122,Katugastota SC,"Katugastota, Sri Lanka",7.3359903,80.6214005,Arpico,2025-03-03,1
127,Katukurunda SC,"Katukurunda, Sri Lanka",6.549971,79.9836108,Arpico,2025-03-03,1
152,Athurugiriya Daily,"Athurugiriya, Sri Lanka",6.8723185,80.0003875,Arpico,2025-03-03,1
161,Kuliyapitiya Daily,"Kuliyapitiya, Sri Lanka",7.472123,80.0446221,Arpico,2025-03-03,1
163,Ambalangoda Daily,"Ambalangoda, Sri Lanka",6.2441521,80.0590804,Arpico,2025-03-03,1
167,Wennapuwa Daily,"Wennapuwa, Sri Lanka",7.3493037,79.8352767,Arpico,2025-03-03,1
168,Aththiditya Daily,"Aththiditya, Sri Lanka",6.8261828,79.881483,Arpico,2025-03-03,1
174,Chilaw Daily,"Chilaw, Sri Lanka",7.5619894,79.8016569,Arpico,2025-03-03,1
175,Ambatenna Daily,"Ambatenna, Sri Lanka",7.3529789,80.6132646,Arpico,2025-03-03,1
181,Watareka Daily,"Watareka, Sri Lanka",6.8472579,80.0674619,Arpico,2025-03-03,1
188,Rathnapura Main Arpico Daily,"Rathnapura, Sri Lanka",6.7055742,80.3847345,Arpico,2025-03-03,1
190,Anuradhapura Arpico Daily,"Anuradhapura, Sri Lanka",8.3113518,80.4036508,Arpico,2025-03-03,1
