CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE,DEMAND
190,Anuradhapura Arpico Daily,"Anuradhapura, Sri Lanka",8.3113518,80.4036508,Arpico,2025-03-03,1
SPPU,Puttalam,"# 89, Kurunegala Road, Puttalama.",7.7612443,80.1120736,Keels,2025-03-03,1
SAAP,Anuradhapura,"No. 514, Maithripala Senanayake Mawatha, Anuradhapura",8.3259528,80.4053739,Keels,2025-03-03,1
1015,FC BANDARAWELA,"7 , Welimada  Road ,  Bandarawella",6.8311676,80.9887048,Cargills,2025-03-03,1
1120,FC ANURADHAPURA,"248 , Main street , Anuradhapura .",8.3316899,80.4091268,Cargills,2025-03-03,1
1125,FC BADULLA,"18 , Dharmadutha Road, Badulla .",6.9880291,81.0599529,Cargills,2025-03-03,1
1146,FC VAVUNIYA,"137, Kandy Road , Vauniya .",8.7497702,80.4965416,Cargills,2025-03-03,1
1153,FC DICKWELLA,"52, Mahawela Road , Dickwella.",5.9716762,80.6951041,Cargills,2025-03-03,1
1150,FC HAMBANTOTA,"Thissa Road,  Hambanthota.",6.1283566,81.1258669,Cargills,2025-03-03,1
1316,EX TRINCOMALEE,Linganagar Service station (MPCS),8.5768576,81.2098826,Cargills,2025-03-03,1
1162,FC TRINCOMALEE,"No.190, Thirugnanasampanthan Street, Trincomalee.",8.5873638,81.2152121,Cargills,2025-03-03,1
1288,FC BATTICALOA,"No. 67, St. Anthonys Street,  Batticaloa",7.7141071,81.6961912,Cargills,2025-03-03,1
1294,FC AMPARA,"Reegal Cinama ,  Nidahas Mawatha , Ampara.",7.3017563,81.6747295,Cargills,2025-03-03,1
1297,FC MONERAGALA,"No. 105, Wellawaya Road,  Monaragala",6.8716513,81.3512451,Cargills,2025-03-03,1
1298,FC IPALOGAMA,"Ranajayapura, Ipalogama.",8.0719177,80.546471,Cargills,2025-03-03,1
1422,FC MANIPPAY,"No. 120 Jaffna Road, Manipay.",9.7232349,79.9973669,Cargills,2025-03-03,1
1432,FC KANNATHTHIDI,"No. 54, Kannathiddy Road, Jaffna",9.6711487,80.0115901,Cargills,2025-03-03,1
1425,FC AKKARAIPATHTHU,"No.143/B 1, Kalmunai road, Akkaraipattru.",7.2268544,81.8505496,Cargills,2025-03-03,1
1424,FC KALMUNEI,No. 1034/1 Kalmunai 14,7.4143831,81.8306334,Cargills,2025-03-03,1
1428,FC WARIYAPOLA,"No. 107, Kurunegala Road, Wariyapola.",7.6239144,80.2433145,Cargills,2025-03-03,1
1434,FC KADURUWELLA,"No. 896, Batticaloa Road, Kaduruwela",7.9353523,81.0180545,Cargills,2025-03-03,1
1431,FC KILINOCHCHI,"No. 7-10 Anthoneypillai Building, Karadibokku, Kilinochchi.",9.4061536,80.4082787,Cargills,2025-03-03,1
1435,FC WELIMADA,"No. 11 Boralanda Road, Welimada",6.903517,80.91281,Cargills,2025-03-03,1
1429,FC BATTICALOA 02,"No.03, Gnanasooriyam Square, Trinco Road, Batticaloa.",7.7298995,81.6742784,Cargills,2025-03-03,1
1439,FC POTHUVIL,"Kaleej Front Building”, Main Street, Pothuvil.",6.8752706,81.8306334,Cargills,2025-03-03,1
1448,FC ERAVUR,"No. 42,44, Main street, Eravur",7.7768972,81.6042028,Cargills,2025-03-03,1
1342,EX NELLIYADI,"No.163, Jaffna Road, Nelliyady.",9.7980091,80.1779516,Cargills,2025-03-03,1
1453,FC SAMANTHURAI,"No. 32/2, Ampara Road,Viliniyady Junction,Sammanthurai.",7.3633212,81.7977421,Cargills,2025-03-03,1
1457,FC THISSAMAHARAMA,"No. 142, Hambantota Road, Thissamaharama",6.2791538,81.2876691,Cargills,2025-03-03,1
1335,EX GALGAMUWA,"No. 37, Anuradhapura Road, Galgamuwa",7.9864944,80.2878794,Cargills,2025-03-03,1
1455,FC CHUNNAKAM,"No. 91, K. K. S. Road, Chunnakam.",9.7434617,80.0274205,Cargills,2025-03-03,1
1155,FC AMBALANTHOTA,"No 129, Jayantha Building, Tangalle Road, Ambalantota.",6.1225999,81.0237594,Cargills,2025-03-03,1
1375,EX BUTTALA,"No. 36, Monaragala Road,Buttala.",6.7589233,81.2491298,Cargills,2025-03-03,1
1459,FC AKURESSA,"No.83 Matara Road,Akuressa",6.0968214,80.4770544,Cargills,2025-03-03,1
1381,EX HABARANA,"No. 72,Trincomalee  Road,Habarana.",8.0322147,80.7519272,Cargills,2025-03-03,1
1148,FC JAFFNA,"No.420, Hospital Road,Jaffna.",9.6652238,80.0137285,Cargills,2025-03-03,1
1470,FC WELLAWAYA,"No. 32 Hambanthota Road,Wellawaya.",6.731289,81.1019688,Cargills,2025-03-03,1
1383,EX MADAWACHCHIYA,"No. 102, Jaffna Road,Medawachchiya.",8.5410253,80.4880392,Cargills,2025-03-03,1
1385,EX DENIYAYA,No. 04 Pallegama Road Deniyaya.,6.3159694,80.5171662,Cargills,2025-03-03,1
