CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE,DEMAND
L03,Boralesgamuwa,"RWR2+JMV, Horana Rd, Boralesgamuwa",6.8414636,79.9014475,Laugfs,2025-02-24,1
L04,Chilaw,"HQJW+F5W, Chilaw",7.5619894,79.8016569,Laugfs,2025-02-24,1
L06,DS Borella,"WV5G+7GX, Colombo 00700",6.9126878,79.8526972,Laugfs,2025-02-24,1
L08,Hanwella,"40 High Level Rd, Hanwella",6.9023337,80.0873966,Laugfs,2025-02-24,1
L09,Havelock Town,"252 Havelock Pl, Colombo 00500",6.8856692,79.8656434,Laugfs,2025-02-24,1
L11,Jubilee Post,"351 Galle Rd, Colombo 00600",6.8714624,79.8623047,Laugfs,2025-02-24,1
L14,Katubedda,"RV4M+3PQ, Soysapura Rd, Moratuwa",6.8043891,79.8829532,Laugfs,2025-02-24,1
L15,Katunayaka,"5WHC+979, Katunayake-Veyangoda Rd, Katunayake",7.1770168,79.8909636,Laugfs,2025-02-24,1
L17,Kesbawa,"107 Colombo - Horana Rd, Piliyandala",6.7948302,79.9360112,Laugfs,2025-02-24,1
L19,Kohuwala,"VV8P+J25, B84, Nugegoda",6.8588741,79.8905681,Laugfs,2025-02-24,1
L22,Kottawa,"364 Avissawella Rd, Pannipitiya 10230",6.8421626,79.9627581,Laugfs,2025-02-24,1
L23,Kurunegala,"Ambepussa - Kurunegala - Trincomalee Hwy, Trincomalee",8.5861491,81.2087188,Laugfs,2025-02-24,1
L24,Maharagama,"129 High Level Rd, Maharagama 10280",6.8492404,79.9237985,Laugfs,2025-02-24,1
L25,Mattegoda,"No 193/20H, Polgasowita",6.7899358,79.9808143,Laugfs,2025-02-24,1
L26,Moratuwa,"06 Old Galle Rd, Moratuwa 10400",6.7495144,79.9005636,Laugfs,2025-02-24,1
L27,Negombo,"6V33+222, Negombo",7.2008805,79.8550708,Laugfs,2025-02-24,1
L28,Negombo-2,"Rajapakse Broadway, Negombo",7.2087763,79.8390641,Laugfs,2025-02-24,1
L29,Nugegoda,"VV8P+J25, B84, Nugegoda",6.8588741,79.8905681,Laugfs,2025-02-24,1
L30,Pelawatta,"VWRH+C5X, Sri Jayawardenepura Kotte",6.8867616,79.9187142,Laugfs,2025-02-24,1
L31,Pepiliyana,"No: 68 Pepiliyana Rd, Nugegoda",6.8524937,79.8837249,Laugfs,2025-02-24,1
L32,Pitakotte,"No.338 Kotte Rd, Sri Jayawardenepura Kotte 10100",6.8831833,79.9020606,Laugfs,2025-02-24,1
L34,Rajagiriya,"1070 Sri Jayawardenepura Mawatha, Sri Jayawardenepura Kotte 10100",6.907645,79.9006437,Laugfs,2025-02-24,1
L35,Rathmalana,"Gonaakowila S weerasena silva rd, ratmalana 5A, S Weerasena silva mw",6.8063535,79.8751694,Laugfs,2025-02-24,1
L36,Seeduwa,"4VJG+CJ5, Negombo",7.2055208,79.8512562,Laugfs,2025-02-24,1
L38,Wellawatta,"351 Galle Rd, Colombo 00600",6.8714624,79.8623047,Laugfs,2025-02-24,1
L39,Werahera,"RWG5+36R, Boralesgamuwa 10290",6.823355,79.9090246,Laugfs,2025-02-24,1
14001,DELKANDA,"Nugegoda Delkanda Apartment, High Level Rd, Nugegoda 10250",6.8395786,79.9767117,Softlogic Supermarket,2025-02-24,1
14004,ASIRI KANDY,Softlogic GLOMARK Essentials - Peradaniya,7.2742831,80.6113119,Softlogic Supermarket,2025-02-24,1
14005,KURUNEGALA,"75 Colombo Road, Kurunegala",7.1459024,79.9329269,Softlogic Supermarket,2025-02-24,1
14006,KOTTAWA,"1285 High Level Rd, Pannipitiya",6.8391875,79.9789795,Softlogic Supermarket,2025-02-24,1
14007,NEGOMBO,"180 St Joseph's St, Negombo 11500",7.2058874,79.8477143,Softlogic Supermarket,2025-02-24,1
14008,NAWALA,"268 Nawala Rd, Sri Jayawardenepura Kotte 10100",6.8886772,79.8876034,Softlogic Supermarket,2025-02-24,1
14009,MOUNT - LAVINIA,"282 Galle Rd, Dehiwala-Mount Lavinia 10370",6.8307062,79.867871,Softlogic Supermarket,2025-02-24,1
14011,CR FC,"28 Malalasekara Mawatha, Colombo 00700",6.9003227,79.8727556,Softlogic Supermarket,2025-02-24,1
14012,THALAWATHUGODA,"559/551, Pelawatte Road, 6 Battaramulla - Pannipitiya Rd, Battaramulla 10120",6.9013507,79.920191,Softlogic Supermarket,2025-02-24,1
14014,KANDY - MCC,"ODEL Mall, Kandy",7.2858279,80.6264265,Softlogic Supermarket,2025-02-24,1
A02,Borelasgamuwa SS,"RWR3+C24, Boralesgamuwa",6.8409891,79.9017187,Arpico,2025-02-24,1
A04,Nawinna SC,"310 High Level Rd, Maharagama 10280",6.8529935,79.916691,Arpico,2025-02-24,1
A05,Matara SC,"WGVF+V7H, A2 Matara Road, Matara",5.942419,80.5148761,Arpico,2025-02-24,1
A06,Panadura SC,"542 Galle Rd, Panadura",6.7843722,79.8844947,Arpico,2025-02-24,1
A07,Kottawa SS,"296 Avissawella Rd, Pannipitiya",6.8396269,79.9704829,Arpico,2025-02-24,1
A08,Galle SC,"181 Matara Rd, Galle",6.0371021,80.2301069,Arpico,2025-02-24,1
A10,Kurunegala SC,"F9G4+XXF, 3 à·€à¶± à¶´à¶§à·”à¶¸à¶œ, Kurunegala",7.4817695,80.3608876,Arpico,2025-02-24,1
A11,Kohuwala SC,"S, 89 S. De S. Jayasinghe Mawatha, Dehiwala-Mount Lavinia",6.8668379,79.8835653,Arpico,2025-02-24,1
A12,Homagama SC,"47 Avissawella Rd, Homagama 10200",6.8415868,80.0038446,Arpico,2025-02-24,1
A14,Kegalle SC,"783R+FH7 Arpico super center, Kegalle",7.2536707,80.3414294,Arpico,2025-02-24,1
A15,Thalawathugoda SC,"junction, 1034/V, Kumarage watta, Battaramulla - Pannipitiya Rd, Sri Jayawardenepura Kotte",6.8948714,79.9245846,Arpico,2025-02-24,1
A17,Kochchikade SC,"7V97+P4M, Negombo",7.2055208,79.8512562,Arpico,2025-02-24,1
A18,Kundasale SS,"7MJF+2X3, Nattarampota 20168",7.2808949,80.675692,Arpico,2025-02-24,1
A19,Katugastota SC,"Nittawela Junction Bus Stop, Katugastota Rd, Kandy",7.3140482,80.6320582,Arpico,2025-02-24,1
A20,Minuwangoda SC,"5WCV+M93, Katunayake Road, Minuwangoda",7.1958851,79.8734317,Arpico,2025-02-24,1
A21,Katukurunda SC,Katukurunda 12000,6.549971,79.9836108,Arpico,2025-02-24,1
A22,Seeduwa SC,"No: 600 Negombo Rd, Seeduwa 11410",7.1485497,79.8731572,Arpico,2025-02-24,1
A23,Kiribathgoda SS,"123 Kandy Rd, Kelaniya 11600",6.9759938,79.9253403,Arpico,2025-02-24,1
