CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND
1160,FC ATTIDIYA,"ATTIDIYA, Cargills Food City, Sri Lanka",6.8391599,79.8835028,Cargills
1585,FC BANDARAWELA 2,"BANDARAWELA , Cargills Food City, Sri Lanka",6.8298077,80.9941178,Cargills
1658,FH HAVELOCK CITY,"HAVELOCK CITY, Cargills Food City, Sri Lanka",6.8827383,79.8683695,Cargills
1673,FC WALPOLA,"WALPOLA, Cargills Food City, Sri Lanka",6.919566,79.9269549,Cargills
1684,FC LEWELLA,"LEWELLA, Cargills Food City, Sri Lanka",7.2989123,80.6506767,Cargills
1686,EX ANGUNAKOLAPELASSA,"ANGUNAKOLAPELASSA, Cargills Food City, Sri Lanka",6.1655689,80.9031172,Cargills
1687,FC ANGUNAWALA,"ANGUNAWALA, Cargills Food City, Sri Lanka",7.2391815,80.5924449,Cargills
1688,FC NUGAWELA,"NUGAWELA, Cargills Food City, Sri Lanka",7.3273716,80.5950278,Cargills
1689,FC CHILLAW 03,"CHILLAW , Cargills Food City, Sri Lanka",7.5619894,79.8016569,Cargills
1690,FC VEYANGODA,"VEYANGODA, Cargills Food City, Sri Lanka",7.1553708,80.0576014,Cargills
1691,FC MOUNT LAVINIA 02,"MOUNT LAVINIA , Cargills Food City, Sri Lanka",6.8301185,79.8800832,Cargills
1692,FC TORRINGTON SQUARE,"TORRINGTON SQUARE, Cargills Food City, Sri Lanka",6.9035383,79.8681098,Cargills
1693,FC KATUBEDDA (SQUARE),"KATUBEDDA (SQUARE), Cargills Food City, Sri Lanka",6.8014572,79.8996789,Cargills
1696,FC HAKMANA,"HAKMANA, Cargills Food City, Sri Lanka",6.0827767,80.6469843,Cargills
1860,EX POLPITHIGAMA,"POLPITHIGAMA, Cargills Food City, Sri Lanka",7.8152387,80.4043131,Cargills
1868,EX PUTTALAM,"PUTTALAM, Cargills Food City, Sri Lanka",8.0407913,79.839386,Cargills
1873,EX KANDALAMA (MIRIGAMA),"KANDALAMA (MIRIGAMA), Cargills Food City, Sri Lanka",7.2427345,80.1269539,Cargills
1880,EX HINGURAKGODA,"HINGURAKGODA, Cargills Food City, Sri Lanka",8.0426714,80.955026,Cargills
1881,EX ATIGALA,"ATIGALA, Cargills Food City, Sri Lanka",6.894662,80.0562864,Cargills
1883,EX KUMBALGAMA,"KUMBALGAMA, Cargills Food City, Sri Lanka",6.6898822,80.8045568,Cargills
1884,EX KONDAVIL,"KONDAVIL, Cargills Food City, Sri Lanka",9.70218,80.0354029,Cargills
1886,EX CAPITAL HEIGHTS,"CAPITAL HEIGHTS, Cargills Food City, Sri Lanka",6.9095794,79.9005022,Cargills
1889,EX WORLD TRADE CENTRE,"WORLD TRADE CENTRE, Cargills Food City, Sri Lanka",6.9326744,79.8413641,Cargills
