CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE
1432,FC KANNATHTHIDI,"KANNATHTHIDI, Sri Lanka",7.873054,80.771797,Cargills,3/3/2025
1433,FC NORRIS CANAL,"NORRIS CANAL, Sri Lanka",6.9210399,79.8659874,Cargills,3/3/2025
1434,FC KADURUWELLA,"KADURUWELLA, Sri Lanka",6.929061,79.9827754,Cargills,3/3/2025
1435,FC WELIMADA,"WELIMADA, Sri Lanka",6.9019072,80.9079245,Cargills,3/3/2025
1439,FC POTHUVIL,"POTHUVIL, Sri Lanka",6.8752706,81.8306334,Cargills,3/3/2025
1443,FC PUTTALAM,"PUTTALAM, Sri Lanka",8.0407913,79.839386,Cargills,3/3/2025
1444,FC GALLE 2,"GALLE , Sri Lanka",6.0328948,80.2167912,Cargills,3/3/2025
1446,FC WARD PLACE,"WARD PLACE, Sri Lanka",6.9159834,79.8712711,Cargills,3/3/2025
1448,FC ERAVUR,"ERAVUR, Sri Lanka",7.7768972,81.6042028,Cargills,3/3/2025
1453,FC SAMANTHURAI,"SAMANTHURAI, Sri Lanka",7.3574841,81.7951054,Cargills,3/3/2025
1455,FC CHUNNAKAM,"CHUNNAKAM, Sri Lanka",9.7375634,80.0245049,Cargills,3/3/2025
1457,FC THISSAMAHARAMA,"THISSAMAHARAMA, Sri Lanka",6.2791538,81.2876691,Cargills,3/3/2025
1459,FC AKURESSA,"AKURESSA, Sri Lanka",6.1001388,80.4759567,Cargills,3/3/2025
1460,FC KATUGASTOTA 2,"KATUGASTOTA , Sri Lanka",7.3359903,80.6214005,Cargills,3/3/2025
1464,FC PALLEKELE,"PALLEKELE, Sri Lanka",7.2801042,80.7020359,Cargills,3/3/2025
1466,FC AMBALANGODA 2,"AMBALANGODA , Sri Lanka",6.2441521,80.0590804,Cargills,3/3/2025
1467,FC GATAMBE,"GATAMBE, Sri Lanka",7.271285,80.5979973,Cargills,3/3/2025
1469,FC WELIGAMA,"WELIGAMA, Sri Lanka",5.9773782,80.4288487,Cargills,3/3/2025
1470,FC WELLAWAYA,"WELLAWAYA, Sri Lanka",6.7377356,81.1030573,Cargills,3/3/2025
1471,FC COTA ROAD,"COTA ROAD, Sri Lanka",6.913648,79.8827858,Cargills,3/3/2025
1475,FC MATHUGAMA,"MATHUGAMA, Sri Lanka",6.5219432,80.1136852,Cargills,3/3/2025
1481,FC MATALE 2,"MATALE , Sri Lanka",7.467465,80.6234161,Cargills,3/3/2025
1484,FC MARINE CITY,"MARINE CITY, Sri Lanka",7.873054,80.771797,Cargills,3/3/2025
1490,FC NARAMMALA,"NARAMMALA, Sri Lanka",7.4325133,80.2153998,Cargills,3/3/2025
1497,FC DEMATAGODA 02,"DEMATAGODA , Sri Lanka",6.9352993,79.8807831,Cargills,3/3/2025
1498,FC KURUNEGALA 3,"KURUNEGALA , Sri Lanka",7.4817695,80.3608876,Cargills,3/3/2025
1545,FC GLORIOUS RESIDENCE,"GLORIOUS RESIDENCE, Sri Lanka",6.940075,79.8646908,Cargills,3/3/2025
1546,FC RATNAPURA 03,"RATNAPURA , Sri Lanka",6.7055742,80.3847345,Cargills,3/3/2025
1548,FC BIYAGAMA,"BIYAGAMA, Sri Lanka",6.9462153,79.9892034,Cargills,3/3/2025
1549,FC BOMIRIYA,"BOMIRIYA, Sri Lanka",6.9344434,79.9961936,Cargills,3/3/2025
1550,FC MATARA 2,"MATARA , Sri Lanka",5.9496309,80.5468529,Cargills,3/3/2025
1555,FC BLOEMENDHAL,"BLOEMENDHAL, Sri Lanka",6.9529494,79.8702837,Cargills,3/3/2025
1559,FC ANURADHAPURA 2,"ANURADHAPURA , Sri Lanka",8.3113518,80.4036508,Cargills,3/3/2025
1567,FC KEGALLE 2,"KEGALLE , Sri Lanka",7.2513317,80.3463754,Cargills,3/3/2025
1571,FC DAMBULLA 2,"DAMBULLA , Sri Lanka",7.874217,80.6511287,Cargills,3/3/2025
1576,FC RATHNAPURA 2,"RATHNAPURA , Sri Lanka",6.7055742,80.3847345,Cargills,3/3/2025
1579,FC MIRISSA,"MIRISSA, Sri Lanka",5.948262,80.4715866,Cargills,3/3/2025
1584,FC MAHIYANGANAYA,"MAHIYANGANAYA, Sri Lanka",7.3316102,81.0036821,Cargills,3/3/2025
1589,FC ALUTHGAMA 2,"ALUTHGAMA , Sri Lanka",6.4345732,80.0003875,Cargills,3/3/2025
1592,FC PILIMATHALAWA 2,"PILIMATHALAWA , Sri Lanka",7.2663313,80.5521785,Cargills,3/3/2025
1594,FC JAYA ROAD,"JAYA ROAD, Sri Lanka",6.8867292,79.8561692,Cargills,3/3/2025
1597,FC RAMBUKKANA,"RAMBUKKANA, Sri Lanka",7.3135237,80.3881333,Cargills,3/3/2025
1600,EX GALAHA ROAD,"GALAHA ROAD, Sri Lanka",7.1827106,80.6837936,Cargills,3/3/2025
1607,FC GAMPOLA 02,"GAMPOLA , Sri Lanka",7.1635434,80.5702443,Cargills,3/3/2025
1608,FC KOLLUPITIYA 02,"KOLLUPITIYA , Sri Lanka",6.9128154,79.8506815,Cargills,3/3/2025
1614,FC KOLONNAWA 02,"KOLONNAWA , Sri Lanka",6.9283596,79.8949946,Cargills,3/3/2025
1616,FC POLONNARUWA,"POLONNARUWA, Sri Lanka",7.914703,81.0001183,Cargills,3/3/2025
1619,FC KULIYAPITIYA 02,"KULIYAPITIYA , Sri Lanka",7.472123,80.0446221,Cargills,3/3/2025
1650,FC W. A. SILVA MAWATHA,"W. A. SILVA MAWATHA, Sri Lanka",6.8765025,79.8652516,Cargills,3/3/2025
1651,FC KARAPITIYA 02,"KARAPITIYA , Sri Lanka",6.0705817,80.2251603,Cargills,3/3/2025
