Data
"1160 FC ATTIDIYA 235824 2025-03-07 28,678.80 5,156.80 33,835.60"
"1585 FC BANDARAWELA 2 50488 2025-03-07 1,352.52 243.45 1,595.97"
"1658 FH HAVELOCK CITY 24873 2025-03-07 34,833.75 6,065.15 40,898.90"
"1673 FC WALPOLA 23560 2025-03-07 19,689.96 3,544.19 23,234.15"
"1684 FC LEWELLA 20795 2025-03-07 23,920.92 4,300.37 28,221.29"
"1686 EX ANGUNAKOLAPELASSA 10892 2025-03-07 7,101.60 1,278.28 8,379.88"
"1687 FC ANGUNAWALA 16340 2025-03-07 8,879.40 1,592.89 10,472.29"
"1688 FC NUGAWELA 17578 2025-03-07 7,785.24 1,401.35 9,186.59"
"1689 FC CHILLAW 03 18499 2025-03-07 10,037.16 1,806.69 11,843.85"
"1690 FC VEYANGODA 19351 2025-03-07 11,538.36 2,076.91 13,615.27"
"1691 FC MOUNT LAVINIA 02 23883 2025-03-07 19,180.20 3,452.44 22,632.64"
"1692 FC TORRINGTON SQUARE 29920 2025-03-07 23,758.32 4,271.11 28,029.43"
"1693 FC KATUBEDDA (SQUARE) 31591 2025-03-07 17,679.96 3,182.38 20,862.34"
"1696 FC HAKMANA 6477 2025-03-07 4,767.00 858.06 5,625.06"
"1860 EX POLPITHIGAMA 8234 2025-03-07 13,608.12 2,449.45 16,057.57"
"1868 EX PUTTALAM 8231 2025-03-07 24,310.20 4,375.84 28,686.04"
"1873 EX KANDALAMA (MIRIGAMA) 8099 2025-03-07 21,188.73 3,813.99 25,002.72"
"1880 EX HINGURAKGODA 7231 2025-03-07 33,339.96 6,001.22 39,341.18"
"1881 EX ATIGALA 9727 2025-03-07 44,508.84 8,011.61 52,520.45"
"1883 EX KUMBALGAMA 7376 2025-03-07 3,689.04 664.03 4,353.07"
"1884 EX KONDAVIL 6187 2025-03-07 13,778.16 2,480.07 16,258.23"
"1886 EX CAPITAL HEIGHTS 9873 2025-03-07 2,424.00 436.32 2,860.32"
"1889 EX WORLD TRADE CENTRE 9201 2025-03-07 19,685.88 3,543.45 23,229.33"
